BIN_INDEX, BIN_FROM, BIN_TO, INTERPOLATION, INTERVAL_TYPE
151,  15.000, 15.100, 15.050, 1202
152,  15.100, 15.200, 15.150, 1202
153,  15.200, 15.300, 15.250, 1202
154,  15.300, 15.400, 15.350, 1202
155,  15.400, 15.500, 15.450, 1202
156,  15.500, 15.600, 15.550, 1202
157,  15.600, 15.700, 15.650, 1202
158,  15.700, 15.800, 15.750, 1202
159,  15.800, 15.900, 15.850, 1202
160,  15.900, 16.000, 15.950, 1202
161,  16.000, 16.100, 16.050, 1202
162,  16.100, 16.200, 16.150, 1202
163,  16.200, 16.300, 16.250, 1202
164,  16.300, 16.400, 16.350, 1202
165,  16.400, 16.500, 16.450, 1202
166,  16.500, 16.600, 16.550, 1202
167,  16.600, 16.700, 16.650, 1202
168,  16.700, 16.800, 16.750, 1202
169,  16.800, 16.900, 16.850, 1202
170,  16.900, 17.000, 16.950, 1202
171,  17.000, 17.100, 17.050, 1202
172,  17.100, 17.200, 17.150, 1202
173,  17.200, 17.300, 17.250, 1202
174,  17.300, 17.400, 17.350, 1202
175,  17.400, 17.500, 17.450, 1202
176,  17.500, 17.600, 17.550, 1202
177,  17.600, 17.700, 17.650, 1202
178,  17.700, 17.800, 17.750, 1202
179,  17.800, 17.900, 17.850, 1202
180,  17.900, 18.000, 17.950, 1202
181,  18.000, 18.100, 18.050, 1202
182,  18.100, 18.200, 18.150, 1202
183,  18.200, 18.300, 18.250, 1202
184,  18.300, 18.400, 18.350, 1202
185,  18.400, 18.500, 18.450, 1202
186,  18.500, 18.600, 18.550, 1202
187,  18.600, 18.700, 18.650, 1202
188,  18.700, 18.800, 18.750, 1202
189,  18.800, 18.900, 18.850, 1202
190,  18.900, 19.000, 18.950, 1202
191,  19.000, 19.100, 19.050, 1202
192,  19.100, 19.200, 19.150, 1202
193,  19.200, 19.300, 19.250, 1202
194,  19.300, 19.400, 19.350, 1202
195,  19.400, 19.500, 19.450, 1202
196,  19.500, 19.600, 19.550, 1202
197,  19.600, 19.700, 19.650, 1202
198,  19.700, 19.800, 19.750, 1202
199,  19.800, 19.900, 19.850, 1202
200,  19.900, 20.000, 19.950, 1202
201,  20.000, 20.100, 20.050, 1202
202,  20.100, 20.200, 20.150, 1202
203,  20.200, 20.300, 20.250, 1202
