EVENT_ID,PERIOD_NO,OCC_YEAR,OCC_MONTH,OCC_DAY
1,1,1940,11,1
2,2,1941,1,3
3,2,1941,2,14
4,2,1941,10,29
5,3,1942,1,20
6,3,1942,1,29
7,3,1942,11,5
8,3,1942,12,29
9,4,1943,1,8
10,5,1944,2,11
11,6,1945,10,25
12,6,1945,12,20
13,7,1946,1,30
14,7,1946,2,20
15,7,1946,3,2
16,8,1947,2,28
17,8,1947,3,11
18,8,1947,11,25
19,8,1947,12,19
20,10,1949,1,8
21,10,1949,2,10
22,10,1949,3,1
23,10,1949,10,25
24,10,1949,11,15
25,11,1950,2,26
26,11,1950,10,25
27,11,1950,11,3
28,11,1950,11,11
29,12,1951,11,12
30,12,1951,12,30
31,13,1952,1,5
32,13,1952,11,7
33,13,1952,12,17
34,13,1952,12,21
35,14,1953,1,6
36,14,1953,1,31
37,15,1954,1,22
38,15,1954,2,19
39,15,1954,12,23
40,16,1955,2,8
41,17,1956,2,14
42,17,1956,3,1
43,17,1956,7,29
44,17,1956,11,2
45,18,1957,3,28
46,18,1957,8,24
47,20,1959,11,6
48,20,1959,12,30
49,21,1960,10,15
50,21,1960,12,10
51,22,1961,2,9
52,22,1961,9,17
53,22,1961,10,8
54,22,1961,11,13
55,23,1962,2,17
56,24,1963,2,11
57,25,1964,10,9
58,25,1964,12,28
59,26,1965,11,1
60,27,1966,10,29
61,27,1966,11,12
62,27,1966,11,28
63,27,1966,12,12
64,28,1967,2,24
65,28,1967,3,6
66,28,1967,9,4
67,28,1967,10,18
68,28,1967,12,25
69,29,1968,1,5
70,29,1968,1,15
71,29,1968,3,6
72,30,1969,2,7
73,31,1970,2,17
74,31,1970,12,28
75,32,1971,3,22
76,32,1971,11,20
77,33,1972,3,27
78,33,1972,11,13
79,33,1972,11,13
80,34,1973,4,3
81,35,1974,1,12
82,35,1974,2,4
83,35,1974,2,14
84,35,1974,10,20
85,36,1975,3,22
86,37,1976,1,3
87,37,1976,12,18
88,38,1977,1,10
89,39,1978,1,12
90,39,1978,3,26
91,40,1979,1,14
92,40,1979,3,15
93,40,1979,12,5
94,41,1980,3,28
95,51,1990,1,25
96,42,1981,11,2
97,44,1983,1,18
98,44,1983,2,1
99,45,1984,1,13
100,45,1984,1,14
101,45,1984,11,23
102,47,1986,1,20
103,47,1986,3,25
104,47,1986,10,22
105,48,1987,10,16
106,49,1988,2,8
107,49,1988,11,29
108,51,1990,1,25
109,51,1990,2,3
110,51,1990,2,8
111,51,1990,2,11
112,51,1990,2,26
113,51,1990,2,28
114,52,1991,1,8
115,53,1992,11,25
116,54,1993,1,13
117,54,1993,1,23
118,54,1993,12,8
119,55,1994,1,28
120,56,1995,1,18
121,57,1996,2,7
122,57,1996,10,27
123,57,1996,11,5
124,58,1997,3,28
125,58,1997,12,24
126,59,1998,1,4
127,59,1998,10,28
128,59,1998,12,26
129,60,1999,12,3
130,60,1999,12,26
131,60,1999,12,27
132,61,2000,10,30
133,63,2002,1,27
134,63,2002,10,27
135,66,2005,1,7
136,66,2005,1,11
137,68,2007,1,18
138,69,2008,2,1
139,69,2008,3,2
140,70,2009,1,24
141,70,2009,2,11
142,71,2010,2,27
143,72,2011,12,16
144,72,2011,12,26
145,72,2011,12,28
146,73,2012,1,3
147,74,2013,10,28
148,74,2013,12,5
