event_id,period_no,occ_date_id
5115,50,10030657
5120,50,10090404
5150,51,3212327
5153,51,3291026
5176,51,6071558
5196,51,8180557
5203,51,9050244
5220,51,11012241
5250,52,1261345
5269,52,3041924
5276,52,4100945
5285,52,5122004
5332,52,10151356
5335,52,10231603
5342,52,11152218
5350,52,12092349
5353,52,12281901
5357,53,1210300
5360,53,2080536
5400,53,6141922
5402,53,6260104
5415,53,8301319
5416,53,9021019
5438,53,10241454
5445,53,11051028
5453,53,12161514
5460,54,1120454
5477,54,4031543
5481,54,4091406
5485,54,4232153
5495,54,5240710
5499,54,5271117
5505,54,6232306
5547,54,12031455
5561,55,1240627
5577,55,2251823
5584,55,3200332
5586,55,4112339
5589,55,5020835
5600,55,6142355
5617,55,8030938
5629,55,9111243
5651,55,11092351
5653,55,11181414
5682,56,2170352
5703,56,5132034
5708,56,5262245
5709,56,6022313
5721,56,7091446
5771,57,1201310
5796,57,4260214
5799,57,4281750
5800,57,4290630
5818,57,6300307
5820,57,7070827
5840,57,9100844
5841,57,9101420
5844,57,9150534
5846,57,9170908
5890,58,3201154
5900,58,4271956
5918,58,7041146
5931,58,8140709
5942,58,10242343
5955,58,11180856
5963,58,12091327
5972,58,12312116
5974,59,1041219
5983,59,2010232
6000,59,3190856
6005,59,4131537
6009,59,4241745
6016,59,5190057
6120,60,4271644
6124,60,5231643
6128,60,6041946
6137,60,6300250
6151,60,8151449
6164,60,9210538
6167,60,10061447
6182,60,11161947
6187,60,12291647
6196,61,1252240
6208,61,3101844
6226,61,5191901
6251,61,7292048
6255,61,8122024
6266,61,9200438
6270,61,9292302
6271,61,9300450
6282,61,11161020
6320,62,5022223
6357,62,9201613
6376,62,11190515
6382,62,12081859
6395,63,2050851
6429,63,6031651
6430,63,6040131
6437,63,6281607
6488,63,11272347
6492,63,12231131
6496,64,1081621
6515,64,3050420
6519,64,4010050
6520,64,4042353
6537,64,6071331
6546,64,6290057
6551,64,7192319
6553,64,7231734
6557,64,8082036
6562,64,8291434
6570,64,9090102
6581,64,10060218
6586,64,10271130
6591,64,11050628
